record_id,country,state_emirate,city_tier,economic_zone,industry,company_size,job_category,job_title,job_level,age_group,gender,education_level,years_of_experience,employment_type,remote_work_percentage,automation_risk_score,ai_augmentation_potential,ai_exposure_index,task_automation_percentage,ai_collaboration_score,company_ai_adoption_level,ai_tool_usage_frequency,generative_ai_usage,ai_implementation_year,job_transformation_stage,primary_skill_type,technical_skill_score,soft_skill_score,digital_literacy_score,ai_literacy_score,skill_gap_index,reskilling_urgency_score,annual_training_hours,employer_training_investment_usd,certifications_held,annual_salary_usd,salary_growth_rate_yoy,job_security_index,job_displacement_probability,career_growth_potential,new_role_emergence_score,productivity_index,productivity_change_with_ai,labor_market_demand_index,wage_premium_for_ai_skills,observation_year,demand_forecast_2025,demand_forecast_2030,estimated_years_to_significant_automation,workforce_transition_timeline,projected_salary_2030_usd,ai_anxiety_level,ai_optimism_level,reskilling_willingness,technology_acceptance_score,job_satisfaction_score,work_life_balance_score,ai_benefit_perception,career_pivot_consideration,company_ai_investment_millions,department,team_size,ai_tools_available_count,organizational_ai_culture_score
1,India,Assam,Tier 3,Mixed,Transportation & Logistics,Medium,Creative & Design,Video Editor,Senior,25-34,Female,Associate,7,Full-time,46,52.1,82.0,74.3,22.6,51.7,49.6,Monthly,True,2023,Early Adoption,Creative,59.3,71.6,100.0,50.5,36.5,33.4,39,3002.36,1,23638,3.7,54.4,30.1,88.6,61.0,121.2,18.6,90.7,37.3,2023,Declining,High Growth,14,Long-term (5-10yr),29373,3,4,3,81.0,82.0,49.5,Neutral,True,22.24,Design,23,1,39.3
2,India,Maharashtra,Tier 1,Financial Center,Finance & Banking,Large,Customer Service,Customer Service Representative,Manager,45-54,Female,Master,30,Freelance,32,94.9,58.7,77.9,93.2,61.6,59.4,Monthly,False,2019,Scaling,Managerial,79.8,100.0,100.0,70.4,25.3,27.7,69,6661.98,7,105808,3.6,37.3,72.5,96.5,55.3,135.7,44.6,64.2,25.8,2028,Declining,Declining,4,Short-term (1-2yr),164128,3,3,3,88.5,75.5,53.4,Neutral,True,329.11,Engineering,22,5,58.6
3,India,Uttar Pradesh,Tier 2,Mixed,Technology,Enterprise,Human Resources,Compensation Analyst,Mid,25-34,Male,Professional,7,Full-time,78,56.2,60.4,63.6,46.6,41.4,90.5,Daily,True,2020,Scaling,Interpersonal,75.9,78.6,94.9,59.0,16.5,21.3,117,15725.79,1,26008,6.9,60.2,54.3,93.3,61.0,131.8,31.6,51.5,17.5,2030,Declining,High Growth,12,Medium-term (3-5yr),29777,4,3,4,88.3,86.8,74.1,Very Positive,False,3263.11,Sales,48,11,80.5
4,India,Karnataka,Tier 1,Tech Hub,Retail & E-commerce,Large,Engineering & Technical,QA Engineer,Mid,35-44,Female,Bachelor,18,Part-time,44,68.8,100.0,72.8,47.5,74.3,69.1,Hourly,True,2025,Scaling,Technical,100.0,72.3,67.7,69.6,12.7,36.1,76,6655.86,3,32972,6.0,58.4,42.7,100.0,82.3,123.9,29.2,61.7,31.6,2028,Growing,Stable,7,Immediate,45494,5,3,4,99.1,60.4,83.7,Neutral,False,431.91,Design,82,5,80.6
5,India,Telangana,Tier 1,Tech Hub,Technology,Enterprise,Finance & Accounting,Tax Specialist,Mid,18-24,Male,Bachelor,1,Full-time,0,49.9,100.0,81.8,29.1,76.4,100.0,Weekly,True,2018,Scaling,Analytical,71.4,66.1,71.0,53.3,43.2,35.9,83,14664.69,0,27823,4.9,72.0,30.9,95.8,77.7,90.6,59.2,94.0,23.9,2020,Growing,Stable,15,Medium-term (3-5yr),26102,3,5,4,82.9,53.5,48.1,Neutral,False,2647.79,Marketing,225,12,100.0
6,India,West Bengal,Tier 1,Mixed,Retail & E-commerce,Enterprise,Sales & Marketing,SEO Specialist,Senior,55-64,Male,Master,39,Full-time,29,58.4,100.0,80.1,57.3,77.0,75.0,Rarely,True,2016,Optimized,Interpersonal,94.6,100.0,100.0,91.6,7.3,8.2,68,15062.71,8,46388,7.5,67.5,61.0,56.8,90.1,146.3,38.6,64.3,41.3,2020,Stable,Declining,10,Medium-term (3-5yr),55478,4,2,3,100.0,54.2,40.6,Very Negative,True,2891.29,Administration,50,10,75.4
7,UAE,Abu Dhabi,Major,Administrative,Education,Medium,Sales & Marketing,Brand Manager,Lead,25-34,Female,Bachelor,10,Full-time,25,21.9,100.0,100.0,16.1,75.1,72.3,Rarely,False,2025,Optimized,Interpersonal,75.7,97.0,100.0,74.6,19.0,14.2,53,7548.82,2,118916,1.1,87.7,11.7,100.0,73.2,119.4,66.9,95.0,34.1,2025,Growing,Stable,16,Stable,114130,3,5,4,100.0,100.0,67.3,Positive,False,102.05,Operations,28,10,81.4
8,UAE,Dubai,Major,Financial Center,Healthcare,Small,Creative & Design,UX Designer,Junior,25-34,Male,Bachelor,0,Full-time,28,18.8,100.0,84.2,0.0,66.8,67.0,Rarely,True,2017,Optimized,Creative,54.0,45.7,59.9,37.2,43.2,22.8,63,2018.33,2,49844,9.1,70.0,16.3,93.6,90.4,115.5,43.4,60.4,9.8,2029,Growing,Growing,18,Medium-term (3-5yr),47217,3,5,4,100.0,75.1,81.4,Positive,False,6.68,Finance,19,13,83.6
9,India,Maharashtra,Tier 1,Financial Center,Technology,Small,Data & Analytics,Machine Learning Engineer,Senior,35-44,Male,Bachelor,18,Full-time,46,18.4,100.0,87.1,28.9,90.5,67.1,Never,True,2016,Scaling,Analytical,78.2,90.5,67.8,100.0,0.0,17.5,17,1284.38,4,64313,12.4,76.3,0.0,100.0,71.1,140.3,44.6,83.3,48.1,2026,Growing,High Growth,20,Short-term (1-2yr),60267,2,4,5,84.0,61.9,59.9,Neutral,True,4.45,Human Resources,19,7,67.2
10,India,Delhi NCT,Metro,Administrative,Retail & E-commerce,Small,Creative & Design,UI Designer,Senior,25-34,Female,Master,18,Full-time,59,35.8,91.4,65.6,30.7,69.9,32.5,Never,True,2022,Early Adoption,Creative,91.6,98.5,100.0,75.1,0.0,10.7,99,1474.01,4,45257,5.6,53.7,36.2,100.0,51.4,135.8,33.2,72.0,25.7,2022,Stable,High Growth,10,Short-term (1-2yr),52034,3,4,4,89.1,67.1,75.4,Neutral,False,2.28,Customer Support,15,8,38.1
